--- Bang-bang trajectory (hardware - single ECU) ---
t(s)	L1(m)	L2(m)
1.50	0.357323	0.357323
1.60	0.357923	0.357923
1.70	0.358523	0.358523
1.80	0.359123	0.359123
1.90	0.359723	0.359723
2.00	0.360323	0.360323
2.10	0.360923	0.360923
2.20	0.361523	0.361523
2.30	0.362123	0.362123
2.40	0.362723	0.362723
2.50	0.363323	0.363323
2.60	0.363923	0.363923
2.70	0.364523	0.364523
2.80	0.365123	0.365123
2.90	0.365723	0.365723
3.00	0.366323	0.366323
3.10	0.366923	0.366923
3.20	0.367523	0.367523
3.30	0.368123	0.368123
3.40	0.368723	0.368723
3.50	0.369323	0.369323
3.60	0.369923	0.369923
3.70	0.370523	0.370523
3.80	0.371123	0.371123
3.90	0.371723	0.371723
4.00	0.372323	0.372323
4.10	0.372923	0.372923
4.20	0.373523	0.373523
4.30	0.374123	0.374123
4.40	0.374723	0.374723
4.50	0.375323	0.375323
4.60	0.375923	0.375923
4.70	0.376523	0.376523
4.80	0.377123	0.377123
4.90	0.377723	0.377723
5.00	0.378323	0.378323
5.10	0.378923	0.378923
5.20	0.379523	0.379523
5.30	0.380123	0.380123
5.40	0.380723	0.380723
5.50	0.381323	0.381323
5.60	0.381923	0.381923
5.70	0.382523	0.382523
5.80	0.383123	0.383123
5.90	0.383723	0.383723
6.00	0.384323	0.384323
6.10	0.384923	0.384923
6.20	0.385523	0.385523
6.30	0.386123	0.386123
6.40	0.386723	0.386723
6.50	0.387323	0.387323
6.60	0.387923	0.387923
6.70	0.388523	0.388523
6.80	0.389123	0.389123
6.90	0.389723	0.389723
7.00	0.390323	0.390323
7.10	0.390923	0.390923
7.20	0.391523	0.391523
7.30	0.392123	0.392123
7.40	0.392723	0.392723
7.50	0.393323	0.393323
7.60	0.393923	0.393923
7.70	0.394523	0.394523
7.80	0.395123	0.395123
7.90	0.395723	0.395723
8.00	0.396323	0.396323
8.10	0.396923	0.396923
8.20	0.397523	0.397523
8.30	0.398123	0.398123
8.40	0.398723	0.398723
8.50	0.399323	0.399323
8.60	0.399923	0.399923
8.70	0.400523	0.400523
8.80	0.401123	0.401123
8.90	0.401723	0.401723
9.00	0.402323	0.402323
9.10	0.402923	0.402923
9.20	0.403523	0.403523
9.30	0.404123	0.404123
9.40	0.404723	0.404723
9.50	0.405323	0.405323
9.60	0.405923	0.405923
9.70	0.406523	0.406523
9.80	0.407123	0.407123
9.90	0.407723	0.407723
10.00	0.408323	0.408323
10.10	0.408923	0.408923
10.20	0.409523	0.409523
10.30	0.410123	0.410123
10.40	0.410723	0.410723
10.50	0.411323	0.411323
10.60	0.411923	0.411923
10.70	0.412523	0.412523
10.80	0.413123	0.413123
10.90	0.413723	0.413723
11.00	0.414323	0.414323
11.10	0.414923	0.414923
11.20	0.415523	0.415523
11.30	0.416123	0.416123
11.40	0.416723	0.416723
11.50	0.417323	0.417323
11.60	0.417923	0.417923
11.70	0.418523	0.418523
11.80	0.419123	0.419123
11.90	0.419723	0.419723
12.00	0.420323	0.420323
12.10	0.420923	0.420923
12.20	0.421523	0.421523
12.30	0.422123	0.422123
12.40	0.422723	0.422723
12.50	0.423323	0.423323
12.60	0.423923	0.423923
12.70	0.424523	0.424523
12.80	0.425123	0.425123
12.90	0.425723	0.425723
13.00	0.426323	0.426323
13.10	0.426923	0.426923
13.20	0.427523	0.427523
13.30	0.428123	0.428123
13.40	0.428723	0.428723
13.50	0.429323	0.429323
13.60	0.429923	0.429923
13.70	0.430523	0.430523
13.80	0.431123	0.431123
13.90	0.431723	0.431723
14.00	0.432323	0.432323
14.10	0.432923	0.432923
14.20	0.433523	0.433523
14.30	0.434123	0.434123
14.40	0.434723	0.434723
14.50	0.435323	0.435323
14.60	0.435923	0.435923
14.70	0.436523	0.436523
14.80	0.437123	0.437123
14.90	0.437723	0.437723
15.00	0.438323	0.438323
15.10	0.438923	0.438923
15.20	0.439523	0.439523
15.30	0.440123	0.440123
15.40	0.440723	0.440723
15.50	0.441323	0.441323
15.60	0.441923	0.441923
15.70	0.442523	0.442523
15.80	0.443123	0.443123
15.90	0.443723	0.443723
16.00	0.444323	0.444323
16.10	0.444923	0.444923
16.20	0.445523	0.445523
16.30	0.446123	0.446123
16.40	0.446723	0.446723
16.50	0.447323	0.447323
16.60	0.447923	0.447923
16.70	0.448523	0.448523
16.80	0.449123	0.449123
16.90	0.449723	0.449723
17.00	0.450000	0.450000
17.10	0.450000	0.450000
17.20	0.450000	0.450000
17.30	0.450000	0.450000
17.40	0.450000	0.450000
17.50	0.450000	0.450000
17.60	0.450000	0.450000
17.70	0.450000	0.450000
17.80	0.450000	0.450000
